gray_value,count
0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,2
8,2
9,5
10,14
11,11
12,30
13,34
14,60
15,61
16,99
17,194
18,265
19,368
20,535
21,821
22,1159
23,1566
24,1958
25,2622
26,3417
27,4381
28,5033
29,5408
30,6070
31,7158
32,7932
33,9433
34,10815
35,10056
36,10310
37,11588
38,10996
39,9530
40,9008
41,8661
42,8171
43,7735
44,6486
45,5303
46,4596
47,4103
48,3698
49,3487
50,3275
51,3125
52,2974
53,2872
54,3014
55,2794
56,2814
57,2909
58,2947
59,3102
60,3253
61,3222
62,3202
63,3338
64,3465
65,3520
66,3811
67,4079
68,3854
69,3727
70,3922
71,4033
72,3607
73,3601
74,3745
75,3747
76,3750
77,3539
78,3251
79,3140
80,3025
81,2942
82,3031
83,3150
84,2962
85,3007
86,3047
87,3022
88,2894
89,3026
90,3088
91,3066
92,3060
93,2821
94,2739
95,2625
96,2563
97,2474
98,2410
99,2503
100,2442
101,2464
102,2450
103,2453
104,2483
105,2579
106,2726
107,2812
108,2987
109,3051
110,3109
111,3092
112,3051
113,3062
114,2990
115,2917
116,2927
117,2789
118,2722
119,2662
120,2595
121,2435
122,2394
123,2381
124,2237
125,2208
126,2285
127,2157
128,2309
129,2419
130,2393
131,2467
132,2561
133,2577
134,2638
135,2687
136,2831
137,2878
138,2967
139,3071
140,3211
141,3181
142,3162
143,3052
144,3192
145,3194
146,3120
147,3203
148,3259
149,3201
150,3076
151,3125
152,3129
153,3059
154,3102
155,2992
156,2939
157,2953
158,2939
159,3011
160,2947
161,3014
162,2998
163,2924
164,3012
165,3087
166,3077
167,3306
168,3333
169,3492
170,3442
171,3593
172,3754
173,3685
174,3838
175,3969
176,4120
177,4284
178,4298
179,4488
180,4523
181,4702
182,4851
183,4915
184,4992
185,5239
186,5199
187,5194
188,5201
189,5075
190,5101
191,4964
192,4951
193,4756
194,4594
195,4334
196,4353
197,4329
198,4436
199,4414
200,4325
201,4348
202,4479
203,4606
204,4884
205,5247
206,5450
207,5506
208,5623
209,5566
210,5456
211,5228
212,5049
213,4954
214,4589
215,4319
216,3965
217,4014
218,3795
219,3485
220,3271
221,3128
222,3011
223,2721
224,2487
225,2383
226,2344
227,2191
228,2053
229,1936
230,1731
231,1435
232,1215
233,1124
234,1009
235,889
236,815
237,771
238,682
239,541
240,502
241,411
242,387
243,318
244,290
245,227
246,210
247,183
248,142
249,144
250,125
251,97
252,54
253,54
254,18
255,0
